TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2016",CHEM,8698,7,"Doctoral Research",Guloy,"Arnold M",,,,,,,
"Summer 2016",CHEM,8698,9,"Doctoral Research",Hoffman,"David M",,,,,,,
"Summer 2016",CHEM,8698,10,"Doctoral Research",Jacobson,"Allan J",,,,,,,
"Summer 2016",CHEM,8698,13,"Doctoral Research",Lee,"T Randall",,,,,,,
"Summer 2016",CHEM,8698,14,"Doctoral Research",Lubchenko,Vassiliy,,,,,,,
"Summer 2016",CHEM,8698,15,"Doctoral Research",May,"Jeremy A",,,,,,,
"Summer 2016",CHEM,8698,16,"Doctoral Research",Miljanic,"Ognjen S",,,,,,,
"Summer 2016",CHEM,8698,19,"Doctoral Research",Xu,Shoujun,,,,,,,
"Summer 2016",CHEM,8698,20,"Doctoral Research",Do,"Loi H",,,,,,,
"Summer 2016",CHEM,8698,31,"Doctoral Research",Yang,Ding-Shyue,,,,,,,
"Summer 2016",CHEM,8698,32,"Doctoral Research",Cuny,"Gregory D",,,,,,,
"Summer 2016",CHEM,8698,33,"Doctoral Research",Coltart,"Don M.",,,,,,,
"Summer 2016",CHEM,8698,34,"Doctoral Research",Brgoch,Jakoah,,,,,,,
"Summer 2016",CHEM,8699,5,"Doctoral Dissertation",Daugulis,Olafs,,,,,,,
"Summer 2016",CHEM,8699,10,"Doctoral Dissertation",Jacobson,"Allan J",,,,,,,
"Summer 2016",CIVE,6198,9,Research,Lee,Hyongki,,,,,,,
"Summer 2016",CIVE,6398,3,Research,Belarbi,Abdeldjelil,,,,,,,
"Summer 2016",CIVE,6398,18,Research,Vipulanandan,Cumaraswamy,,,,,,,
"Summer 2016",CIVE,6598,9,Research,Lee,Hyongki,,,,,,,
"Summer 2016",CIVE,8198,1,"Doctoral Research",Belarbi,Abdeldjelil,,,,,,,
"Summer 2016",CIVE,8198,3,"Doctoral Research",Dawood,"Mina M.R.",,,,,,,
"Summer 2016",CIVE,8198,5,"Doctoral Research",Glennie,"Craig Len",,,,,,,
"Summer 2016",CIVE,8198,9,"Doctoral Research",Lee,Hyongki,,,,,,,
"Summer 2016",CIVE,8198,11,"Doctoral Research",Mo,Yi-Lung,,,,,,,
"Summer 2016",CIVE,8198,12,"Doctoral Research",Nakshatrala,Kalyana,,,,,,,
"Summer 2016",CIVE,8198,14,"Doctoral Research",Rixey,"William G",,,,,,,
"Summer 2016",CIVE,8198,18,"Doctoral Research",Vipulanandan,Cumaraswamy,,,,,,,
"Summer 2016",CIVE,8298,1,"Doctoral Research",Belarbi,Abdeldjelil,,,,,,,
"Summer 2016",CIVE,8298,3,"Doctoral Research",Dawood,"Mina M.R.",,,,,,,
"Summer 2016",CIVE,8298,5,"Doctoral Research",Glennie,"Craig Len",,,,,,,
"Summer 2016",CIVE,8298,7,"Doctoral Research",Hu,Yandi,,,,,,,
